下面给你一版 **从小学到大学的数学可视化 vibe coding 项目总表**。
我会尽量做得 **既系统、又能直接用于你后续开源规划**。

为了让它真正可用，我不用单纯“教材目录”，而是按这些字段来整理：

* **学段**
* **知识点 / 项目主题**
* **推荐交互形式**
* **为什么适合可视化**
* **实现难度**
* **开源优先级**

我先给你一个适合做 repo 规划的主表，然后再给你一版我建议的 **开源路线图**。

---

# 数学可视化 vibe coding 项目总表

## 适用范围：小学 → 初中 → 高中 → 大学

难度说明：

* **低**：单文件 HTML/CSS/JS 基本可做
* **中**：需要稍多状态管理、动画、坐标系统
* **高**：需要 2D/3D 图形系统、较复杂数学逻辑或数值计算

优先级说明：

* **A**：强烈推荐先做，教学价值高、演示效果强、传播性好
* **B**：值得做，适合扩展系列
* **C**：更适合后续深挖或作为进阶项目

---

# 一、小学阶段

| 学段 | 知识点 / 项目主题      | 推荐交互形式       | 为什么适合可视化       | 难度 | 优先级 |
| -- | --------------- | ------------ | -------------- | -- | --- |
| 小学 | 数数与数量对应         | 点击计数、物体拖拽配对  | 数字和数量建立一一对应    | 低  | B   |
| 小学 | 数轴跳跃加减法         | 数轴跳格、角色移动    | 把加减法变成位置变化     | 低  | A   |
| 小学 | 数的分解与组成         | 小球/积木分组、拖拽拆分 | 抽象数字变成“组成结构”   | 低  | A   |
| 小学 | 凑十法 / 破十法       | 动画补全、拆分数字块   | 运算策略特别适合动态展示   | 低  | A   |
| 小学 | 位值系统（个位十位百位）    | 十进制积木、位值卡槽   | 位值概念很适合结构化呈现   | 低  | A   |
| 小学 | 进位加法 / 退位减法     | 竖式联动动画、积木重组  | 过程性强，最适合可视化    | 中  | A   |
| 小学 | 乘法数组模型          | 方阵生成器、行列点阵   | 让“几个几”变得直观     | 低  | A   |
| 小学 | 平均分与除法          | 糖果/苹果分组动画    | 除法本质就是分组与平均分   | 低  | A   |
| 小学 | 有余数除法           | 分组后显示剩余      | “剩余”特别适合动画强调   | 低  | B   |
| 小学 | 分数条 / 分数块       | 分割条、拼接块      | 整体与部分关系最适合视觉化  | 低  | A   |
| 小学 | 披萨 / 巧克力分数实验室   | 圆形分块、拖动切分    | 分数直觉建立特别有效     | 低  | A   |
| 小学 | 同分母分数比较         | 分数条长度比较      | 比大小一眼看懂        | 低  | A   |
| 小学 | 小数数轴放大镜         | 局部放大数轴       | 小数位置感需要细粒度可视化  | 中  | B   |
| 小学 | 周长走边框动画         | 小人沿边走、边长累加   | 周长是“边界长度总和”    | 低  | A   |
| 小学 | 面积铺砖模型          | 单位方格覆盖       | 面积的本质适合铺满体验    | 低  | A   |
| 小学 | 平行四边形 / 三角形面积剪拼 | 图形切分重组       | 公式来源一看就懂       | 中  | A   |
| 小学 | 角度拖拽测量器         | 角的开合、量角器联动   | 角的大小是旋转量，不只是形状 | 低  | B   |
| 小学 | 时间与钟表           | 拨针、时间匹配      | 时间读写天然适合交互     | 低  | B   |
| 小学 | 人民币购物找零         | 超市模拟、找钱过程    | 现实感强，课堂复用率高    | 中  | A   |
| 小学 | 条形图生成器          | 拖动数据自动成图     | 数据到图表的对应关系直观   | 低  | B   |
| 小学 | 规律接龙游戏          | 拖拽填空、动画排序    | 模式识别天然适合小游戏    | 低  | B   |
| 小学 | 坐标寻宝初步          | 平面点选、路径寻宝    | 让抽象坐标变成游戏地图    | 中  | B   |
| 小学 | 百分数折扣模拟器（高年级）   | 商品价格折扣联动     | 现实应用强，学生有代入感   | 中  | A   |

---

# 二、初中阶段

| 学段 | 知识点 / 项目主题   | 推荐交互形式       | 为什么适合可视化         | 难度 | 优先级 |
| -- | ------------ | ------------ | ---------------- | -- | --- |
| 初中 | 有理数数轴实验室     | 点在数轴移动、运算跳跃  | 正负数、绝对值都很抽象      | 低  | A   |
| 初中 | 绝对值距离模型      | 点到原点距离动画     | 绝对值本质是距离         | 低  | A   |
| 初中 | 合并同类项归类器     | 卡片归类、拖拽合并    | 符号对象分类很适合交互      | 低  | B   |
| 初中 | 一元一次方程天平模型   | 左右平衡、同步增减    | 代数操作的意义可视化       | 中  | A   |
| 初中 | 角关系动态观察器     | 对顶角、余补角联动    | “动中不变”最适合可视化     | 低  | B   |
| 初中 | 平行线与内错角演示    | 拖动截线、角自动高亮   | 几何关系动态保持         | 中  | B   |
| 初中 | 二元一次方程组交点求解器 | 两条直线联动       | 方程组 = 图像交点       | 中  | A   |
| 初中 | 一次函数滑杆实验室    | k、b 滑杆调图     | 参数影响特别适合交互       | 中  | A   |
| 初中 | 不等式解集数轴工具    | 数轴区间高亮       | 解集最适合数轴表示        | 低  | A   |
| 初中 | 平方根面积模型      | 正方形面积和边长联动   | 平方根概念更容易建立       | 中  | B   |
| 初中 | 全等三角形拖拽验证器   | 重合、边角对应高亮    | 证明条件可视化很强        | 中  | A   |
| 初中 | 轴对称折叠实验室     | 翻折动画、镜像点     | 对称本身就是运动关系       | 中  | B   |
| 初中 | 平移旋转变换器      | 图形拖拽变换       | 图形变换很适合动画        | 中  | B   |
| 初中 | 勾股定理拼图证明器    | 面积拼接、块重组     | 最经典的可视化几何项目      | 中  | A   |
